(eye)TEACH
Epsilon Eta
Equity Research Association
Eta Kappa Nu Electrical and Computer Engineering Society
Euchre League
Evangelical Christian Union
Every Voice Coalition Illinois
FACES Consulting
Faith & Agape Ministry
Falling Illini Skydiving
FarmHouse Fraternity
Federalist Society for Law & Public Policy Studies
Feminist Disability Justice Collective
Fencing Illini
Field and Furrow Agronomy Club
FIFA 25 Soccer Club @UIUC
First Generation Law Student Society
First Love
FishPond
Fizaa
Flashpoint Photography Club
Flippin' Illini Gymnastics Club
Floor Lovers Illinois
Flying Illini Booster Club
Food Justice Alliance
Food Product Development Club
Food Science and Human Nutrition Graduate Student Association
Forging Unity Solidarity and Equity for QTPOC
Formosa Volleyball Enthusiasts
Foundation for International Medical Relief of Children - UIUC Chapter
Founders - Illinois Entrepreneurs
French Club
From the Ground Up
FSAE Illini Motorsports
Fulbright Student Association
Future Business Leaders of America Collegiate
Future Health Care Executives
Gah Rahk Mah Dahng
Game Night
Gamma Iota Sigma
Gamma Phi Beta Sorority
Gamma Phi Omega International Sorority, Inc.
Gargoyles Honors Society
Gender and Women's Studies RSO
GeoClub
Geography Graduate Student Association
Geometry Lab Undergrad Outreach
Geotechnical Engineering Student Organization
Travis Shoemaker
Ghost Electric Motorcycles
Ghungroo Dance Company
Gift of Life UIUC
Girl Gains at UIUC
Girl Up UIUC
Girls Next Door
GLAM Squad
Global Medical Training
Global Studies Professional Society
Glory Nation Prayer City
Go Club @ UIUC
Golden Apple - Illini
Good Athlete Project - UIUC
Google Developers Student Club
Gospel Fellowship
Graduate Biomedical Engineering Society
Graduate Consulting Club
Graduate Employees' Organization
Graduate Organization of, for and by Latine Students
Graduate Student Association of Animal Scientists
Graduate Students in Ecology and Evolutionary Biology
Graduate Students of French and Italian
Graduate Women in the Society of Women Engineers
Greek Graduate Student Association
Greek InterVarsity Christian Fellowship
Greeks Redefined
Grow2Give
Grupo Illini
Guild of Unpaid Illinois Lawyer Thespians
Habitat for Humanity Campus Chapter
Hack4Impact UIUC
Harmony Ballet
Harry Potter Alliance
Healing Everything And Reaching The Soul
Health and Elder Law Society
Health of The Homeless
Healthcare Book Club
Hedge: Equities, Options, and Alternatives
Hellenic Student Association
Her Campus Illinois
Hermandad de Sigma Iota Alpha, Incorporada
Hillel Leadership Council
Hindu YUVA UIUC
Hip-Hop Collective at UIUC
Hip-Notic Dance Team
Hispanic Organization of Urban Studies and the Environment
Historical European Martial Arts Urbana/Champaign
History Graduate Student Association
Hive Society Improv Comedy Troupe
Hong Kong Student Association
Hoof and Horn
Horticulture Club
Hospitality Management Association
Hot Pot Basketball Association
Human Development and Family Studies Graduate Student Organization
Human Factors and Ergonomics Society at the University of Illinois Urbana-Champaign
Human Interest Professionals Club
Human Resources and Psychology Organization
Humanity First at Illinois
I-CAUSE
I-Leader Academia
Ice Skating Illini
iDegrees Graduate Business Association
If/When/How
IGNITE @UIUC
IlliDell of Alpha Gamma Sigma
Illini 4000
Illini Air Shuttle
Illini Automotive Group
Illini Awaaz A Cappella
Illini Badminton Intercollegiate Sports Club
Illini Barbell
Illini Bass Fishing Club
Illini Bhangra
Illini Billiards Club
Illini Blockchain
Illini Books to Prisoners
Illini Boxing
Illini Brazilian Jiu Jitsu Club
Illini CHAARG
Illini Chamber Strings (ICS)
Illini Chess Club
Illini Chinese Christian Fellowship
Illini CogLab
Illini Crusaders
Illini Cubers
Illini Cycling
Illini Dairy Club
Illini Dancesport
Illini Democrats
Illini Disc Golf Club
Illini Electric Motorsports
Illini Emerging Leaders
Illini Equestrians
Illini Esports
Illini EV Concept
Illini Fighting Alzheimer's
Illini Fighting Hunger
Illini Film and Video
Gavin Schroeder
Illini Forever
Illini Ghost Hunters
Illini Global Forensics
Illini Hockey Club
Illini Ice Girls
Illini Innovated + Imagined
Illini Ishaara
Illini Kendo Club
Illini Kennel Club
Illini Life Student Fellowship
Illini Magic Society
Illini Math Tournament at UIUC
Illini Medical Screening Society
Illini MediMech
Illini Mens' Water Polo Club
Illini Mentor Program
Illini Motorcycle Club
Illini N Motion Dance Team
Illini Network Technology Group
Illini Oboe Society
Illini Painting Club
Illini PokeGO
Illini Pole Fitness
Illini Powerlifting Club
Illini Pride Student Athletic Board
Illini Pullers
Illini Raas
Rishi Patel
Illini Railroad Club
Illini Rhythm Syndicate
Illini Ridgebacks Quadball Team
Illini RoboMaster
Illini Rotaract Club
Illini Service Dogs
Illini Solar Car
Illini Speed
Illini Statistics Club
Illini Student Musicals
Illini Students for Reproductive Justice
Illini Students Supporting Israel
Illini Swim Club
Illini Table Tennis Club
Illini Tango
Illini Thaakat Foundation
Illini Trap and Skeet Club
Illini Urban Farmers
Illini Veterans
Illini VEX Robotics
Illini Waterski and Wakeboard Club
Illini Web Shadowing
Illini Wildlife and Conservation Club
Illini Women's Hockey Club
Illini Women's Soccer Club
Illini Women's Water Polo
Nicole Terzian
Illini World Taekwondo
Illini Wushu Club
Illini Young Life
IlliniFurs
IlliniThon
Illinois Ballet Company
Illinois Biodiesel Initiative
Illinois Biophysics
Illinois Club Baseball
Illinois Club Dodgeball
Illinois Consulting Group
Illinois Data School Club
Illinois Data Science Club
Illinois Decentralized Application
Illinois Design Challenge
Illinois DII Club Baseball
Illinois EducationÂ Association - Aspiring Educators
Illinois Golf League
Illinois Jurisprudence Society
Illinois Medical Advancements through Design and Engineering
Illinois Men's Club Basketball
Illinois Men's Lacrosse Club
Illinois Men's Rowing Club
Illinois Men's Rugby
Illinois Men's Soccer Club
Illinois Men's Volleyball Club
Illinois MicroTech
Illinois Model United Nations
Illinois Music Business Club
Illinois National Organization for the Professional Advancement of Black Chemists and Chemical Engineers Student Chapter
Illinois Open Ultimate Frisbee Team
Illinois Promise Council
Illinois Rip Chords
Illinois Robotics in Space
Illinois Sailing
Illinois Semiconductor Student Alliance
Illinois Shotokan Karate Club
Illinois Ski and Snowboard Club
Illinois Solar Decathlon
Illinois Space Society
Illinois Spikeball Roundnet Club
Illinois Sports Business Conference
Illinois Student American Veterinary Medical Association
Illinois Student Association of Music Scholars
Illinois Student Chapter of the American Association of Equine Practitioners
Illinois Student Chapter of the Wildlife Disease Association
Illinois Student Chapter of the World Aquatic Veterinary Medical Association
Illinois Student Council
Illinois Student Council on Family Relations
Illinois Student Organization of Meteorology
Illinois Students' Symphony Orchestra
Illinois Synchronized Skating
Illinois Trial Team
Illinois Triathlon Club
Illinois Undergraduate Moot Court Team
Illinois Underwater Hockey
Illinois Women's Club Basketball
Illinois Women's Fastpitch Softball Club
Illinois Women's Lacrosse Club
Illinois Women's Rowing Club
Illinois Women's Rugby Football Club
Illinois Women's Volleyball Club
IlliNoise On Air
Illio Yearbook
ImagiNation Dance Crew
Impact Investing Club
In Between at UIUC
In Living Color
Inactive
Indian Graduate Students Association
Indian Student Association
Indonesian Students Club
Inline Insomniacs
Institute for Scientific Progress, Innovation, Research and Edutraining
Institute of Electrical and Electronics Engineers
Institute of Industrial & Systems Engineers
Institute of Transportation Engineers UIUC Chapter
Intellectual Property Legal Society
Intercollegiate IllinoiSkating
Intercollegiate Transfer Club
Interdisciplinary Health Educators And Leaders
Interfaith in Action
Interfraternity Council
International Business Association
International Christian Fellowship
International Consulting Network
International Film Club
International Friendships
International Illini
International Korean Student Association
International Students Association
International Students in Pre-Health
International Taekwon-Do Federation Club at Illinois
International Water Resources Association
InterVarsity Christian Fellowship - Illinois Undergrad Chapter
InterVarsity Graduate Christian Fellowship
Investment Portfolio Organization
Iranian Cultural Association
Iranian Heritage Foundation
Irish Illini
iRobotics
It's On Us at UIUC
Italian Club
Jain Student Association
Japanese Animation Club
Japanese Student Association at UIUC
Jasmine Field Orchestra
JET - Jewish Education Team
Jewish Law Students Association
Jhealth
Journey International Ministry
K-Project
Kappa Alpha Pi
Kappa Alpha Theta Sorority
Kappa Delta Rho
Kappa Delta Sorority
Kappa Kappa Gamma
Kappa Kappa Psi
Kappa Phi Lambda Sorority, Inc.
Kappa Pi Beta National Fraternity, Inc.
Kappa Sigma Fraternity
Kellsie's Krusaders
Kelp
Keramos
Kick Brass - Brass Band
Kinesiology Student Association
Kings Assembly Redeemed Christian Church of God
Knights of Columbus Council #2782
KOJOBS
Korean American Culinary Association
Korean American Student Association
Korean Architecture & Design Association
Korean Cultural Center
Korean Engineering and Science Society
Korean Illinois Football Association
Korean Jesus-Love Church
Korean Liberal Arts Student Organization
Korean Student Association
La Colectiva
La Fuerza Flamenca
La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.
Labor and Employment Relations Wellness Committee
Labor and Industrial Relations Association
Laboratory Animal Medicine Club
Lambda Phi Epsilon
Lambda Theta Alpha Latin Sorority, Incorporated.
Lambda Theta Phi Latin Fraternity, Inc.
Languages, Cultures, Literatures and Linguistics Graduate Student Association
LAS Leaders
Latinx in Law
Latinx Law Students Association
Latinx Veterinary Medical Association
Latter-day Saint Student Association at the University of Illinois at Urbana-Champaign
Law and Medicine at Illinois
League of Linguists
Learners of Indigenous Languages of Illinois Articles of Incorporation
Lebanese Student Association
Legend Dance Company
Lego Masters at UIUC
Les Claviers
Letters of Love UIUC
LGBTJew
Liberty in North Korea
Life Drawing Club
Limitless Achievers
LinguaMed
Linguistics Student Organization
Liquid Rocketry at Illinois
Love + Flour Baking Club
Lucha Robotics
Luso-Brazilian Association
Lutheran Student Movement
M.A.R.V.E.L
Magic the Gathering @ UIUC
Maker Network
Makeup Skincare Club
Malaysian Student Association (MaSA)
MannMukti
Material Advantage
Materials Research Society
Mathematical Advancement Through Research and Idea eXchange
MCB Philanthropy
Med Initiative
Medium at UIUC
MedLaunch
MEDLIFE UIUC
Men of Impact
Menace Ultimate Frisbee
Mentors in Medicine
Mexican Student Association
Mi Pueblo Spanish Conversation Groups
Microbial Early-career Researchers Association
Mimosa Dance Crew
Mind, Body, and Soul
Mindful Movement
Minorities for Mutual Aid
Minorities in Aerospace
Minorities in Agriculture, Natural Resources and Related Sciences
Minorities in Animal Sciences
Minorities in Health Sciences
Minorities in STEM
Minority Association for Future Attorneys
Minority Association of Pre-Dental Students
Minority Association of Pre-Medical Students
Minority Business Students Association
Mixed Motions UIUC
Mixed Student Union
Moda Belissima
Mongolian Cultural Organization at the University of Illinois Urbana-Champaign
Montage Arts Journal
MRDC Teams
Mu Epsilon Delta
Multicultural Student Association
Music Education Student Association
Muslim American Society, Urbana-Champaign Chapter
Muslim Law Students Association
Muslim Students Association
Myra Bradwell Association for Women Law Students
NAMI on Campus UIUC
National Agri-Marketing Association at UIUC
National Arab American Medical Association NextGen at UIUC
National Association for the Advancement of Colored People
National Association of Black Accountants
National Association of Black Journalists
National Association of Black Veterinarians at UIUC
National Association of Colored Women's Clubs, Inc.
National Association of Hispanic Journalists
National Band Association, UIUC Collegiate Chapter
National Illini Lawyers Association
National Lawyers Guild
National Organization for Business and Engineering
National Society of Black Engineers
National Society of Collegiate Scholars
National Student Speech Language and Hearing Association
Naval Reserve Officers Training Corps
Navigators
Nepali Student Association
Network of Enlightened Women
Neuroscience Student Organization
NeuroTech@UIUC
New City Collegiate
New Life Korean Church
Next Generation Leaders
Next Generation MHA Leaders
NMDP
No Comment A Cappella
No Strings Attached A Cappella
No Trace Left Behind
Noble Print Club
North African Student Association
Notion UIUC
NRES Graduate Student Association
Nuestra Verdad PublicaciÃ³n
Numenor Foam Fighting
NutrImpact
Nutrition In Health
Nutritional Sciences Graduate Student Association
October Lovers Club
Odd Request Improv
Off the Record
Off-Road Illini
Omega Chi Epsilon - Chemical Engineering Honor Society
Omega Delta Fraternity
Omega Delta Phi Fraternity, Inc.
Omega Tau Sigma
Open-Source @ Illinois
Operation Smile, UIUC Chapter
Operations Research and Optimization Society
Organic Oneness at UIUC
Orthodox Christian Fellowship
OTCR Consulting
Out in Science, Technology, Engineering and Mathematics
Outdoor Adventure Club
Outlaw
Overseas China Education Foundation at UIUC
PaGeKo Biomimetics Club
Paint and Pencil
Pakistani Students Association
Palestine Children's Relief Fund
Panhellenic Council
Penny Dreadful Players
Performance UIUC Touch
Personal Injury and Medical Malpractice Law Society
Peruvian Student Association
Phi Alpha Delta - Pre-Law Undergraduate Chapter
Phi Alpha Delta Law Fraternity, Magruder Chapter (Illinois Law School)
Phi Alpha Theta
Phi Beta Sigma Fraternity Inc., Epsilon-Xi Chapter
Phi Chi Premedical Society
Phi Chi Theta Professional Business Fraternity
Phi Delta Epsilon Medical Fraternity
Phi Delta Phi - Illini Hall
Phi Delta Theta
Phi Eta Sigma National Honor Society
Phi Gamma Nu, Professional Business Fraternity
Phi Iota Alpha Fraternity, Inc.
Phi Kappa Psi
Phi Kappa Tau Fraternity
Phi Kappa Theta Fraternity
Phi Mu Fraternity
Phi Sigma Kappa
Phi Sigma Pi
Phi Sigma Rho Engineering Sorority
Phi Sigma Sigma
Philippine Student Association
Philosophy Club/Phi Sigma Tau
Photon Pictures
Physical Education Teacher Education Club
Physics Society / Society of Physics Students
Pi Beta Phi Sorority
Pi Kappa Alpha
Pi Kappa Phi
Pi Lambda Chi Latina Sorority, Inc.
Pi Rho Omega
Pi Sigma Gamma
Pi Tau Sigma
Pizza.fm
Plan P Music Studio
Planned Parenthood Generation Action
PLANT
Point Four Photography
Poker Club at Illinois
Polish Club Zagloba
Political Science Graduate Student Association
Positive Illini
Positive Pre-Meds
Potted Meat Sketch Comedy
Power Engineers
Power Pilates
Pre-Athletic Training Club
Pre-Dental Club
Pre-Genetic Counseling Club
Pre-Health Latino Undergraduate Society
Pre-Law Honors Society: The Order of Prospective Lawyers
Pre-Occupational Therapy Association
Pre-Optometry Club
Pre-Pharmacy Club
Pre-Physical Therapy Club
Pre-Physician Assistant Club
Pre-Podiatry Club
Pre-Vet Club
Prime Mergers & Acquisitions
Privacy and Security Law Society
Private Equity @ Illinois
Product Management @ Illinois
Product Space UIUC
Production Medicine Club
Project 4 Less
Project Code UIUC
Promoting Undergraduate Research in Engineering
Prospanica
PRSSA@ILLINOIS
Psi Eta Mu - iSchool Professional Fraternity
Public Health Professionals
Public Interest Law Foundation
Puerto Rican Student Association
Pulse
Quant
Queer Book Club
Queer Educators Collective
Queer Library Alliance
Queer Muslim
Raas Mania
Random Acts of Kindness at UIUC
Re: Cover
REACH
Reaching Across Classes
Real Estate Law Society
Recreational Volleyball
Red Bison Ecological Restoration
Red Crescent Moon
Redefine Beauty
Reformed University Fellowship
Retrocomputing and Hardware at Illinois
Rho Epsilon, Student Real Estate Association
Ricker Report
Robobrawl
Root to Roof
Roots Christian Fellowship
Roselle
Rube Goldberg Society
Rural Area Student Initiative
Russian Speaking Organization
Sage Sustainability
Saudi Students Association
Save the Children Action Network at University of Illinois at Urbana Champaign
Scandinavian Club
Science Policy Group
Security Studies Group
Semper Fi Society
Serbian Student Association
Service and Fortitude
SGI Buddhists for World Peace
She's the First UIUC
Shorthand Club
Sibshops UIUC
Sigma Alpha Epsilon Fraternity
Sigma Alpha Iota International Music Fraternity for Women
Sigma Alpha Professional Agricultural Sorority
Sigma Beta Rho Fraternity, Inc.
Sigma Chi Fraternity
Sigma Delta Tau
Sigma Gamma Rho Sorority, Inc.
Sigma Lambda Beta International Fraternity Inc.-Kappa Chapter
Sigma Lambda Gamma National Sorority Inc. Delta Chapter
Sigma Nu Fraternity
Sigma Phi Delta Fraternity
Sigma Phi Epsilon
Sigma Psi Zeta Sorority, Inc.
Sigma Tau Delta at Illinois
Sikh Student Association
Singapore Students Association
Sino U.S. Trade Research Group
SKY Meditation at UIUC
Social Gaming Club
Social Justice Initiative
Society for Business Management in Architecture
Society for Engineering Mechanics
Society for Equity in Astronomy
Society for Industrial and Applied Mathematics
Society for the Advancement of Chicanos and Native Americans in Science - UIUC Chapter
Society for the Promotion of Indian Classical Music and Culture Amongst Youth
Society for Theriogenology, Illinois Student Chapter
Society for Underrepresented Physics Students
Society for Women in Physics
Society of American Archivists
Society of Asian Scientists and Engineers
Society of Hispanic Professional Engineers
Society of Minority Students in History
Society of Professional Journalists
Society of Women Engineers
Society of Women in Business
Society of Women in Public Affairs
Solar Chapter
South Asian Law Students Association
Space Law Society
Spanish and Portuguese Graduate Organization
Special Populations' Student Health Concerns Committee
Speech Club
Spicy Clamato Improv
Sports & Entertainment Law Society
Sports Analytics for Minorities
Sports Analytics Society
Sports Business Association
Sports Consulting Agency
Squash Club @ UIUC
Squirrel and Bird Watching Club
Sri Lankan Cultural Association
Star Wars Club
Statistics Doctoral Student Association
Steel Bridge
STEM Mental Health Initiative
Stiletto Queens
Stitching Illini
Strategic Poker
Strengthening and Empowering Educators of Diverse Statuses
Structural Engineering Graduate Student Organization
Student Academy of Audiology
Student Advocacy Coalition
Student Aircraft Builders
Student Alumni Ambassadors
Student Ambassadors of UIPD
Student Art History Association
Student Bar Association
Student Basic Needs Coalition @ University of Illinois at Urbana- Champaign
Student Dietetic Association
Student Media Marketing Association
Student Nurses' Association
Student Opportunities for After School Resources
Student Parents at UIUC
Student Planning Organization
Student Society for Human Resource Management
Logan Spainhower
Students Consulting for Nonprofit Organizations
Students for Environmental Concerns
Students for Justice in Palestine
Students for Sensible Drug Policy
Students for Socialism and Liberation
Students Organize for Syria
STYL Project
Sudden Cardiac-Death Awareness Research Foundation: University of Illinois at Urbana-Champaign Chapter
SUITS
Suits and Pantsuits
Supply Chain Academy
Supply Chain Management Association an ASCM Chapter
Survivor Club
Synton Amateur Radio Club
Taiwan Leopards Sports Association
Taiwanese American Students Club
Taiwanese Student Association
TAMID Group at Illinois
Tau Beta Pi Engineering Honor Society
Tau Kappa Epsilon Fraternity
TAU SIGMA National Honor Society
Tax Advisors for the Champaign Society
Taylor Swift Society
Tea & Company
Team ENOUGH Illini
TEDxUIUC
The American Chemical Society East Central Illinois Women Chemists Committee
The Arts Initiative
The Baha'i Association at the University of Illinois
The Canopy Club Connectors
The Change
The Classics Club
The Collective Magazine
The Commu.n.i.t.y
The Creative REALM
The Dressember Organization of the University of Illinois at Urbanba Champaign
The Fashion Network
The Financial Planning Club at Illinois
The Hemp Club
The Hoeft Technology and Management Program Student Organization
The Illini Metagamers
The Illini Swing Society
The Illinois Alt. Protein Project
The Illinois Student Undergraduate Research Journal
The Immigration Law Society
The Kat Walk
The Manga, Manhwa, and Manhua Club
The National Organization of Minority Architecture Students
The National Society of Pershing Rifles
The Other Guys
The Phoenix Improv Company
The Prancing Illinettes
The Prancing Pearls
The Punch Line
The Queer Social Planning Committee
The Red Shoe Foundation
The Sazon Collective
The Scholarly Reading Circle For Economics at UIUC
The Shire of Caer Gwyn
The Society of Art History and Fine Arts (SAHFA)
The SODA
The Student Chapter of the American Holistic Veterinary Medicine Association at the University of Illinois
The What You Will Shakespeare Company
The Wildlife Society, University of Illinois at Urbana-Champaign Student Chapter
The Women's Network UIUC
Themed Entertainment Association at University of Illinois Urbana-Champaign
Theta Chi Fraternity - Rho Chapter
Theta Tau Professional Engineering Fraternity
Theta Xi Fraternity
Thomistic Institute at University of Illinois at Urbana-Champaign
THRUST
Timothy Bible Fellowship
Track and Field Club
Transportation and Development Institute Graduate Student Organization
